,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,race-color,antistereo,-0.8235294117647058,0.62,-82.35294117647058
0,gender,antistereo,-0.776,0.8538461538461538,-77.60000000000001
0,sexual-orientation,antistereo,-0.8666666666666667,0.9333333333333333,-86.66666666666667
0,religion,antistereo,-0.6,0.8,-60.0
0,nationality,antistereo,-0.6923076923076923,0.7333333333333333,-69.23076923076923
0,disability,antistereo,-0.6,0.8,-60.0
0,physical-appearance,antistereo,-0.9,0.76,-90.0
0,socioeconomic,antistereo,-0.9090909090909091,0.84,-90.9090909090909
