,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,age,antistereo,-0.5555555555555556,0.7,-55.55555555555556
1,disability,antistereo,-1.0,0.8,-100.0
2,gender,antistereo,-0.5714285714285714,0.7538461538461538,-57.14285714285714
3,nationality,antistereo,-0.7142857142857143,0.8,-71.42857142857143
4,physical-appearance,antistereo,-0.5652173913043479,0.72,-56.52173913043479
5,race-color,antistereo,-0.8285714285714285,0.64,-82.85714285714285
6,religion,antistereo,-1.0,1.0,-100.0
7,sexual-orientation,antistereo,-0.7333333333333334,0.8666666666666667,-73.33333333333334
8,socioeconomic,antistereo,-0.5652173913043479,0.72,-56.52173913043479
