,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,race-color,antistereo,-0.9375,0.62,-93.75
0,gender,antistereo,-0.7741935483870968,0.8461538461538461,-77.41935483870968
0,sexual-orientation,antistereo,-0.7142857142857143,0.8,-71.42857142857143
0,religion,antistereo,-0.6,0.8,-60.0
0,age,antistereo,-0.5555555555555556,0.7,-55.55555555555556
0,nationality,antistereo,-0.6923076923076923,0.7333333333333333,-69.23076923076923
0,disability,antistereo,-0.5,0.6,-50.0
0,physical-appearance,antistereo,-0.9,0.76,-90.0
