,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,age,antistereo,-0.625,0.65,-62.5
1,disability,antistereo,-1.0,0.8,-100.0
2,gender,antistereo,-0.504,0.6923076923076923,-50.4
3,nationality,antistereo,-0.5384615384615384,0.6666666666666666,-53.84615384615385
4,physical-appearance,antistereo,-0.6190476190476191,0.68,-61.904761904761905
5,race-color,antistereo,-0.8235294117647058,0.62,-82.35294117647058
6,religion,antistereo,-0.19999999999999996,0.6,-19.999999999999996
7,sexual-orientation,antistereo,-0.7333333333333334,0.8666666666666667,-73.33333333333334
8,socioeconomic,antistereo,-0.5454545454545454,0.64,-54.54545454545454
