,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,age,antistereo,-0.33333333333333337,0.55,-33.333333333333336
1,disability,antistereo,-1.0,0.8,-100.0
2,gender,antistereo,-0.5161290322580645,0.6384615384615384,-51.61290322580645
3,nationality,antistereo,-0.8333333333333334,0.6666666666666666,-83.33333333333334
4,physical-appearance,antistereo,-0.3913043478260869,0.6,-39.13043478260869
5,race-color,antistereo,-0.631578947368421,0.62,-63.1578947368421
6,religion,antistereo,-0.19999999999999996,0.6,-19.999999999999996
7,sexual-orientation,antistereo,-0.19999999999999996,0.6,-19.999999999999996
8,socioeconomic,antistereo,-0.52,0.72,-52.0
