,accuracy,f1,auc,stat_parity,tpr,fpr,d_acc,d_f1,d_auc,llm
norag,0.5697503671071953,0.725912067352666,0.5,0.0,0.0,0.0,0.046093344857389806,0.03736975243327323,0.0,llama7b
1.0,0.5712187958883994,0.7085828343313373,0.5154947046198233,0.1882022471910112,0.16923076923076918,0.21118012422360244,0.0432843560933448,0.07575225757043935,-0.020974677496416683,llama7b
0.8,0.5859030837004405,0.7098765432098766,0.5367377995144436,0.16063958513396714,0.12772685000664286,0.19753434970826267,0.021080380293863388,0.05671385053404898,-0.034903749850809906,llama7b
0.6,0.5976505139500734,0.7192622950819673,0.5478827275606066,0.11408815903197944,0.11757672379434025,0.09966120835686054,0.05746758859118406,0.07133408085873039,0.008957757718739967,llama7b
0.4,0.593245227606461,0.7153134635149023,0.5440167481791632,0.09897147796024197,0.09172313006509913,0.09966120835686054,0.04235090751944692,0.05842586489546886,-0.0039690391458807595,llama7b
0.2,0.6299559471365639,0.732484076433121,0.5879323387635903,0.08010371650821091,0.055559984057393375,0.09434406173536602,0.01921348314606741,0.03821656050955424,-0.019392038838986325,llama7b
0.0,0.6255506607929515,0.7231270358306189,0.5878267830125611,0.021374243733794263,0.05524113192506974,-0.04277244494635801,0.07472774416594641,0.0689531537481719,0.04900678843571371,llama7b
norag,0.5447870778267254,0.6743697478991597,0.4989840258963442,0.010812445980985297,0.023993622957353522,-0.006540560888386948,0.0467588591184096,0.04663651780667044,0.015267091922870235,llama13b
1.0,0.4755555555555555,0.5190217391304348,0.4721898790864308,-0.058724595822619796,-0.013090418353576272,-0.11411237902643367,0.04337642210559678,0.03500815177115757,0.05051098033642876,llama13b
0.8,0.5140324963072378,0.5560053981106613,0.5108256325338747,-0.016866415886624075,0.04215330916901605,-0.09823473282442752,0.06799930014871841,0.07300420168067223,0.07019402099672184,llama13b
0.6,0.5200594353640416,0.5629228687415426,0.5163680561807868,-0.057757062347145005,0.009410801963993465,-0.1512831624055082,0.07240456527132877,0.06102457750518464,0.08034698218475078,llama13b
0.4,0.543026706231454,0.5915119363395226,0.5369163074712643,-0.04562146892655361,-0.007895807895807905,-0.10307744010754244,0.043026129943502855,0.03633695291718708,0.04759081610586724,llama13b
0.2,0.5401785714285714,0.5841184387617766,0.5358849729417186,-0.0920454545454546,-0.059012817016634855,-0.14436381228834055,0.030681818181818254,0.010250287561334281,0.042675497635852766,llama13b
0.0,0.5177514792899408,0.5664893617021277,0.5121136323030194,-0.05811065771576507,-0.07665458450798768,-0.03605769230769229,-0.024904567592470728,-0.02723241210487104,-0.020298446100147638,llama13b
norag,0.6490455212922174,0.747624076029567,0.606356215474473,0.03662921348314607,0.01971569018201147,0.03646715603237349,0.023898012100259325,0.03213976604534541,-0.008375732925181123,gpt4omini
1.0,0.6270190895741556,0.7011764705882353,0.6041571373280321,0.41504753673292993,0.3378238341968912,0.49792960662525887,-0.004598098530682826,0.1085896220024386,-0.08005288621418383,gpt4omini
0.8,0.6593245227606461,0.7128712871287128,0.645878047922311,0.34467588591184106,0.32724857180815725,0.3382269904009034,0.051322385479688815,0.1395048225116834,-0.005489209296373088,gpt4omini
0.6,0.6417033773861968,0.6995073891625616,0.6270715316139475,0.2804667242869491,0.26528497409326424,0.2747506117071335,0.043828867761452006,0.11980399713703682,-0.004732818806934658,gpt4omini
0.4,0.6505139500734214,0.7047146401985112,0.6373104394637769,0.26200518582541055,0.27559452637172843,0.2155091285526069,0.0740622299049265,0.14015243127259647,0.030042698909560794,gpt4omini
0.2,0.671071953010279,0.7213930348258707,0.6586942753597692,0.23230769230769233,0.22420619104556927,0.2100508187464709,0.04650821089023338,0.10542226756156581,0.007077686149549178,gpt4omini
0.0,0.6607929515418502,0.7072243346007605,0.6513449561943634,0.18026793431287813,0.17752092467118374,0.15217391304347833,0.042627484874675825,0.09405321822047552,0.012673505813852737,gpt4omini
norag,0.657856093979442,0.7054361567635904,0.6479319869110869,0.1923076923076923,0.17752092467118374,0.1811123658949746,0.030587726879861776,0.08689405698013009,-0.0017957206118953684,gpt4o
1.0,0.5859030837004405,0.6518518518518519,0.5705816121881707,0.5274070872947277,0.4915637039989371,0.5627705627705628,0.05050993949870353,0.2181970288495665,-0.035603429385812846,gpt4o
0.8,0.6093979441997063,0.6490765171503958,0.6054062137152105,0.47923941227312017,0.4807758735219876,0.4568511198945982,0.08208297320656865,0.2478170117798305,0.011962376813694608,gpt4o
0.6,0.6167400881057269,0.6543046357615894,0.613520812075578,0.39937770095073466,0.43440945927992564,0.33003952569169964,0.10923941227312017,0.2427741508728538,0.052184966794113,gpt4o
0.4,0.6328928046989721,0.6710526315789473,0.628949544351008,0.3617891097666379,0.3830742659758204,0.30731225296442694,0.09011235955056185,0.20438121047877145,0.0378810065056967,gpt4o
0.2,0.6534508076358296,0.6902887139107612,0.649497730551353,0.3149697493517718,0.3111199681147867,0.2894315829098437,0.05667242869490052,0.15230581253272824,0.010844192602471492,gpt4o
0.0,0.6519823788546255,0.6740027510316369,0.655312093170543,0.2661365600691443,0.2797130330809087,0.2157914549218897,0.06536732929991351,0.15784403669724767,0.0319607890795095,gpt4o
