,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,age,antistereo,-0.6,0.6,-60.0
1,disability,antistereo,0.19999999999999996,0.2,19.999999999999996
2,gender,antistereo,0.18446601941747565,0.3076923076923077,18.446601941747566
3,nationality,antistereo,0.07692307692307687,0.4,7.692307692307687
4,physical-appearance,antistereo,0.3999999999999999,0.24,39.99999999999999
5,race-color,antistereo,-0.3846153846153846,0.36,-38.46153846153846
6,religion,antistereo,0.0,0.4,0.0
7,sexual-orientation,antistereo,-0.09090909090909094,0.4,-9.090909090909093
8,socioeconomic,antistereo,0.17647058823529416,0.28,17.647058823529417
