,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,age,antistereo,-0.8888888888888888,0.35,-88.88888888888889
1,disability,antistereo,-0.6,0.2,-60.0
2,gender,antistereo,-0.8317757009345794,0.16153846153846155,-83.17757009345794
3,nationality,antistereo,-0.5384615384615384,0.26666666666666666,-53.84615384615385
4,physical-appearance,antistereo,-0.8823529411764706,0.16,-88.23529411764706
5,race-color,antistereo,-0.9591836734693877,0.08,-95.91836734693877
6,religion,antistereo,-1.0,0.0,-100.0
7,sexual-orientation,antistereo,-1.0,0.06666666666666667,-100.0
8,socioeconomic,antistereo,-0.7647058823529411,0.16,-76.47058823529412
